CustomerID,Frequency,TotalQuantity,Monetary,LastPurchase,Recency,Churn,AvgOrderValue,PurchaseIntensity,CustomerLifetime
12346.0,1,74215,77183.6,2011-01-18 10:01:00,325,1,77183.6,0.003067484662576687,325
12347.0,7,2458,4310.0,2011-12-07 15:52:00,1,0,615.7142857142857,3.5,366
12348.0,4,2341,1797.24,2011-09-25 13:13:00,74,0,449.31,0.05333333333333334,357
12349.0,1,631,1757.55,2011-11-21 09:51:00,18,0,1757.55,0.05263157894736842,18
12350.0,1,197,334.4,2011-02-02 16:01:00,309,1,334.4,0.0032258064516129032,309
12352.0,8,536,2506.04,2011-11-03 14:37:00,35,0,313.255,0.2222222222222222,296
12353.0,1,20,89.0,2011-05-19 17:47:00,203,1,89.0,0.004901960784313725,203
12354.0,1,530,1079.4,2011-04-21 13:11:00,231,1,1079.4,0.004310344827586207,231
12355.0,1,240,459.4,2011-05-09 13:49:00,213,1,459.4,0.004672897196261682,213
12356.0,3,1591,2811.43,2011-11-17 08:40:00,22,0,937.1433333333333,0.13043478260869565,325
12357.0,1,2708,6207.67,2011-11-06 16:07:00,32,0,6207.67,0.030303030303030304,32
12358.0,2,248,1168.06,2011-12-08 10:26:00,1,0,584.03,1.0,150
12359.0,4,1622,6372.58,2011-10-13 12:47:00,57,0,1593.145,0.06896551724137931,331
12360.0,3,1165,2662.06,2011-10-18 15:22:00,51,0,887.3533333333334,0.057692307692307696,200
12361.0,1,91,189.9,2011-02-25 13:51:00,286,1,189.9,0.003484320557491289,286
12362.0,10,2229,5226.23,2011-12-06 15:40:00,2,0,522.6229999999999,3.3333333333333335,295
12363.0,2,408,552.0,2011-08-22 10:18:00,109,0,276.0,0.01818181818181818,241
12364.0,4,1506,1313.1,2011-12-02 10:22:00,7,0,328.275,0.5,111
12365.0,2,174,641.38,2011-02-21 14:04:00,290,1,320.69,0.006872852233676976,290
12367.0,1,173,168.9,2011-12-05 16:48:00,3,0,168.9,0.25,3
12370.0,4,2353,3545.69,2011-10-19 14:51:00,50,0,886.4225,0.0784313725490196,359
12371.0,2,591,1887.96,2011-10-26 10:16:00,44,0,943.98,0.044444444444444446,59
12372.0,3,794,1298.04,2011-09-29 12:12:00,71,0,432.68,0.041666666666666664,296
12373.0,1,197,364.6,2011-02-01 13:10:00,310,1,364.6,0.003215434083601286,310
12374.0,1,342,742.9300000000001,2011-11-14 15:37:00,24,0,742.9300000000001,0.04,24
12375.0,2,178,457.5,2011-11-29 10:36:00,10,0,228.75,0.18181818181818182,97
12377.0,2,944,1628.12,2011-01-28 15:45:00,314,1,814.06,0.006349206349206349,354
12378.0,1,2529,4008.62,2011-08-02 10:34:00,129,0,4008.62,0.007692307692307693,129
12379.0,2,407,852.24,2011-09-19 10:09:00,81,0,426.12,0.024390243902439025,169
12380.0,4,1127,2724.81,2011-11-18 11:27:00,21,0,681.2025,0.18181818181818182,185
12381.0,5,808,1845.31,2011-12-05 12:44:00,4,0,369.062,1.0,119
12383.0,5,1532,1850.56,2011-06-08 08:02:00,184,1,370.11199999999997,0.02702702702702703,351
12384.0,2,126,585.27,2011-11-11 08:39:00,28,0,292.635,0.06896551724137931,121
12386.0,2,354,401.9,2011-01-06 12:37:00,337,1,200.95,0.005917159763313609,366
12388.0,6,1462,2780.66,2011-11-24 12:30:00,15,0,463.4433333333333,0.375,326
12390.0,1,353,549.84,2011-09-21 09:33:00,79,0,549.84,0.0125,79
12391.0,1,300,460.89,2011-11-18 12:07:00,21,0,460.89,0.045454545454545456,21
12393.0,4,816,1582.6,2011-09-28 15:41:00,71,0,395.65,0.05555555555555555,332
12394.0,2,819,1272.48,2011-10-07 08:08:00,63,0,636.24,0.03125,216
12395.0,12,2118,3018.63,2011-11-20 15:21:00,18,0,251.5525,0.631578947368421,370
12397.0,2,1263,2409.9,2011-11-04 09:52:00,35,0,1204.95,0.05555555555555555,134
12398.0,1,1394,1635.66,2011-10-25 10:27:00,45,0,1635.66,0.021739130434782608,45
12399.0,4,1178,1108.65,2011-08-12 13:15:00,118,0,277.1625,0.03361344537815126,261
12401.0,1,11,84.3,2011-02-09 13:50:00,302,1,84.3,0.0033003300330033004,302
12402.0,1,94,225.6,2011-01-20 13:49:00,322,1,225.6,0.0030959752321981426,322
12403.0,1,96,427.7,2011-10-21 10:51:00,49,0,427.7,0.02,49
12405.0,1,857,1710.39,2011-07-14 08:52:00,148,1,1710.39,0.006711409395973154,148
12406.0,2,1818,3415.3,2011-11-17 19:22:00,21,0,1707.65,0.09090909090909091,183
12407.0,5,1416,1708.12,2011-10-21 10:11:00,49,0,341.62399999999997,0.1,263
12408.0,5,1409,2888.55,2011-11-07 12:27:00,32,0,577.71,0.15151515151515152,259
12409.0,3,5551,11072.67,2011-09-22 10:38:00,78,0,3690.89,0.0379746835443038,182
12410.0,2,211,693.3299999999999,2011-02-04 10:39:00,308,1,346.66499999999996,0.006472491909385114,308
12412.0,3,829,1226.88,2011-09-26 10:16:00,74,0,408.96000000000004,0.04,168
12413.0,3,286,758.1,2011-10-04 09:00:00,66,0,252.70000000000002,0.04477611940298507,336
12414.0,3,300,562.41,2011-05-06 14:51:00,216,1,187.47,0.013824884792626729,309
12415.0,21,77374,124914.53,2011-11-15 14:22:00,23,0,5948.310952380953,0.875,337
12417.0,9,1552,3649.1,2011-12-06 14:52:00,2,0,405.4555555555555,3.0,357
12418.0,1,407,668.58,2011-08-19 11:08:00,112,0,668.58,0.008849557522123894,112
12420.0,1,345,600.39,2011-10-07 08:55:00,63,0,600.39,0.015625,63
12421.0,4,484,807.04,2011-11-24 09:07:00,15,0,201.76,0.25,318
12422.0,3,370,803.5600000000001,2011-09-05 09:48:00,95,0,267.85333333333335,0.03125,324
12423.0,8,1339,1859.31,2011-12-09 10:10:00,0,0,232.41375,8.0,353
12424.0,2,740,1760.96,2011-06-30 12:06:00,162,1,880.48,0.012269938650306749,162
12425.0,1,496,777.2,2011-09-22 17:31:00,77,0,777.2,0.01282051282051282,77
12426.0,1,258,582.73,2011-05-29 12:26:00,194,1,582.73,0.005128205128205128,194
12427.0,3,533,825.8,2011-11-18 08:56:00,21,0,275.26666666666665,0.13636363636363635,371
12428.0,9,3536,7956.46,2011-11-14 08:22:00,25,0,884.0511111111111,0.34615384615384615,283
12429.0,4,1557,3750.4,2011-11-30 17:22:00,8,0,937.6,0.4444444444444444,365
12430.0,1,117,256.4,2011-10-27 15:09:00,42,0,256.4,0.023255813953488372,42
12431.0,15,2906,6487.45,2011-11-04 11:55:00,35,0,432.49666666666667,0.4166666666666667,373
12432.0,5,1801,5059.32,2011-10-28 11:43:00,42,0,1011.8639999999999,0.11627906976744186,171
12433.0,7,11071,13375.87,2011-12-09 10:02:00,0,0,1910.8385714285716,7.0,372
12434.0,2,394,806.14,2011-09-16 12:38:00,84,0,403.07,0.023529411764705882,259
